time,value
1752851192.5976858,-1
1752851192.7008226,-1
1752851192.8042119,0
1752851192.9073257,1
1752851193.0107956,1
1752851193.1139495,-1
1752851193.2171025,-1
1752851193.3206012,0
1752851193.4237978,1
1752851193.527133,1
1752851193.63037,0
1752851193.7335014,-1
1752851193.8369155,0
1752851193.9399416,1
1752851194.0433316,1
1752851194.1464753,0
1752851194.2496426,-1
1752851194.3530383,-1
1752851194.4562223,0
1752851194.5596302,1
1752851194.6627502,0
1752851194.7658682,-1
1752851194.8692243,-1
1752851194.9723628,0
1752851195.0754492,1
1752851195.1790023,0
1752851195.2821457,-1
1752851195.3855047,-1
1752851195.4886763,0
1752851195.5922618,1
1752851195.695423,1
1752851195.7985396,-1
1752851195.9016616,-1
1752851196.0047867,0
1752851196.107969,1
1752851196.2111187,1
1752851196.3142793,0
1752851196.4174886,-1
1752851196.5206199,-1
1752851196.623706,0
1752851196.726986,1
1752851196.8300726,0
1752851196.9332664,-1
1752851197.0363686,-1
1752851197.1395988,0
1752851197.242716,1
1752851197.345963,1
1752851197.4490469,-1
1752851197.5522084,-1
1752851197.6552808,0
1752851197.758405,1
1752851197.8615444,1
1752851197.9647365,0
1752851198.0679574,-1
1752851198.17111,-1
1752851198.2744806,1
1752851198.37761,1
1752851198.4806619,0
1752851198.5838156,-1
1752851198.6872082,-1
1752851198.7903757,0
1752851198.8938494,1
1752851198.9969378,1
1752851199.1003537,-1
1752851199.2035224,-1
1752851199.3070314,0
1752851199.4102094,1
1752851199.5135767,1
1752851199.6167717,0
1752851199.7201533,-1
1752851199.823306,0
1752851199.926687,1
1752851200.029779,1
1752851200.1328552,0
1752851200.2359917,-1
1752851200.3391287,-1
1752851200.4421825,0
1752851200.5452526,1
1752851200.64839,0
1752851200.7514577,-1
1752851200.8545897,-1
1752851200.9579792,0
1752851201.061132,1
1752851201.1643097,1
1752851201.2674782,-1
1752851201.3707952,-1
1752851201.4739196,0
1752851201.577126,1
1752851201.6803262,1
1752851201.7835379,0
1752851201.8866253,-1
1752851201.989856,-1
1752851202.0929787,0
1752851202.1962178,1
1752851202.2993805,0
1752851202.4025369,-1
1752851202.5056932,-2
1752851202.608816,0
1752851202.7119892,1
1752851202.8150754,1
